Issue ID,Gemini,Gemini-wo,DeepSeek,Deepseek-wo,Deepseek-all,Deepseek-rag,Qwen,Qwen-wo,Qwen-all,Qwen-rag,CodeRabbit,Greptile,Optimuzz,Direct LLM,Mini SWE Agent
76713,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
80113,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
82243,Found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
89516,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Found,Found,Not found,Not found,Not found
91127,Found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
91178,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
91369,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
91957,Found,Found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
93096,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
94897,Found,Found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Found,Not found,Found,Not found,Not found
97330,Found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
97475,Found,Found,Found,Found,Not found,Found,Found,Found,Found,Found,Not found,Not found,Not found,Not found,Not found
98435,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
98753,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
98838,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Found,Not found,Not found
100298,Found,Not found,Found,Found,Found,Found,Found,Found,Found,Found,Not found,Not found,Not found,Not found,Not found
104422,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
105785,Found,Found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Found,Found,Found,Not found,Not found,Not found
108698,Found,Not found,Not found,Not found,Not found,Not found,Found,Found,Found,Found,Found,Found,Not found,Not found,Not found
112068,Not found,Not found,Not found,Not found,Found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
112460,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
112577,Found,Found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
113123,Found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
113520,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Found,Not found,Not found
114879,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
114905,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
115465,Found,Not found,Not found,Not found,Not found,Not found,Found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Found
116553,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
119173,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
120076,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
121110,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
